Temperature	Pressure	Frequency	Sound Pressure Level
61.0005	25.2775	2500	61.5607
61.0005	25.2775	3150	64.4199
61.0005	25.2775	4000	68.5826
61.0005	25.2775	5000	70.399
61.0005	25.2775	6300	72.6898
61.0005	25.2775	8000	77.2306
61.0005	25.2775	10000	79.5872
61.0005	25.2775	12500	83.0594
61.0005	25.2775	16000	85.8111
61.0005	25.2775	20000	89.3382
61.0005	25.2775	25000	93.1563
61.0005	25.2775	31500	96.3793
61.0005	25.2775	40000	99.0522
61.0005	25.2775	50000	100.8059
61.0005	25.2775	63000	101.8002
61.0005	25.2775	80000	103.5036
87.3093	0.9234	500	26.3927
87.3093	0.9234	630	29.1224
87.3093	0.9234	800	31.1228
87.3093	0.9234	1000	33.9425
87.3093	0.9234	1250	35.4712
87.3093	0.9234	1600	38.7968
87.3093	0.9234	2000	41.2538
87.3093	0.9234	2500	39.8774
87.3093	0.9234	3150	42.2071
87.3093	0.9234	4000	45.3768
87.3093	0.9234	5000	46.7612
87.3093	0.9234	6300	47.9065
87.3093	0.9234	8000	49.2744
87.3093	0.9234	10000	51.2898
87.3093	0.9234	12500	54.008
87.3093	0.9234	16000	57.7968
87.3093	0.9234	20000	62.7975
87.3093	0.9234	25000	67.7566
87.3093	0.9234	31500	71.5622
87.3093	0.9234	40000	69.7752
87.3093	0.9234	50000	63.6994
87.3093	0.9234	63000	61.023
87.3093	0.9234	80000	67.11
87.3056	1.1951	500	27.1554
87.3056	1.1951	630	29.8623
87.3056	1.1951	800	32.0308
87.3056	1.1951	1000	34.8384
87.3056	1.1951	1250	36.6665
87.3056	1.1951	1600	40.0912
87.3056	1.1951	2000	42.5958
87.3056	1.1951	2500	41.0707
87.3056	1.1951	3150	43.7062
87.3056	1.1951	4000	47.6041
87.3056	1.1951	5000	48.9226
87.3056	1.1951	6300	50.164
87.3056	1.1951	8000	51.3655
87.3056	1.1951	10000	52.8804
87.3056	1.1951	12500	55.1424
87.3056	1.1951	16000	58.3771
87.3056	1.1951	20000	63.4067
87.3056	1.1951	25000	69.0272
87.3056	1.1951	31500	73.4902
87.3056	1.1951	40000	72.8254
87.3056	1.1951	50000	67.5184
87.3056	1.1951	63000	64.3702
87.3056	1.1951	80000	69.1269
87.9339	2.2521	500	30.1353
87.9339	2.2521	630	31.9449
87.9339	2.2521	800	33.69
87.9339	2.2521	1000	36.9108
87.9339	2.2521	1250	39.4199
87.9339	2.2521	1600	43.7861
87.9339	2.2521	2000	46.1806
87.9339	2.2521	2500	44.5215
87.9339	2.2521	3150	47.7328
87.9339	2.2521	4000	52.4049
87.9339	2.2521	5000	54.3083
87.9339	2.2521	6300	56.3485
87.9339	2.2521	8000	58.0945
87.9339	2.2521	10000	58.9733
87.9339	2.2521	12500	60.5945
87.9339	2.2521	16000	62.6573
87.9339	2.2521	20000	66.6472
87.9339	2.2521	25000	72.6915
87.9339	2.2521	31500	77.9196
87.9339	2.2521	40000	79.0312
87.9339	2.2521	50000	75.9007
87.9339	2.2521	63000	73.4884
87.9339	2.2521	80000	75.8255
87.2348	4.6638	500	34.5105
87.2348	4.6638	630	35.5601
87.2348	4.6638	800	36.917
87.2348	4.6638	1000	41.0787
87.2348	4.6638	1250	44.5161
87.2348	4.6638	1600	48.4891
87.2348	4.6638	2000	50.8371
87.2348	4.6638	2500	50.2458
87.2348	4.6638	3150	53.7485
87.2348	4.6638	4000	58.7732
87.2348	4.6638	5000	61.2639
87.2348	4.6638	6300	63.895
87.2348	4.6638	8000	66.4365
87.2348	4.6638	10000	67.806
87.2348	4.6638	12500	69.3411
87.2348	4.6638	16000	70.7959
87.2348	4.6638	20000	73.0749
87.2348	4.6638	25000	77.4912
87.2348	4.6638	31500	83.1129
87.2348	4.6638	40000	84.3415
87.2348	4.6638	50000	83.8286
87.2348	4.6638	63000	83.258
87.2348	4.6638	80000	85.5914
86.3137	8.9062	500	39.7843
86.3137	8.9062	630	40.607
86.3137	8.9062	800	41.859
86.3137	8.9062	1000	45.6073
86.3137	8.9062	1250	48.392
86.3137	8.9062	1600	51.5382
86.3137	8.9062	2000	53.5177
86.3137	8.9062	2500	53.5987
86.3137	8.9062	3150	56.637
86.3137	8.9062	4000	61.4151
86.3137	8.9062	5000	64.7165
86.3137	8.9062	6300	67.6052
86.3137	8.9062	8000	71.729
86.3137	8.9062	10000	74.0947
86.3137	8.9062	12500	76.3937
86.3137	8.9062	16000	78.4443
86.3137	8.9062	20000	80.6588
86.3137	8.9062	25000	82.9809
86.3137	8.9062	31500	86.1414
86.3137	8.9062	40000	88.0194
86.3137	8.9062	50000	88.5132
86.3137	8.9062	63000	89.5172
86.3137	8.9062	80000	92.4172
86.8915	17.9325	500	46.8877
86.8915	17.9325	630	47.717
86.8915	17.9325	800	48.5931
86.8915	17.9325	1000	52.2275
86.8915	17.9325	1250	54.5583
86.8915	17.9325	1600	56.4261
86.8915	17.9325	2000	58.0907
86.8915	17.9325	2500	58.7176
86.8915	17.9325	3150	61.2088
86.8915	17.9325	4000	65.8574
86.8915	17.9325	5000	68.4627
86.8915	17.9325	6300	71.1573
86.8915	17.9325	8000	75.428
86.8915	17.9325	10000	77.9823
86.8915	17.9325	12500	81.1024
86.8915	17.9325	16000	83.964
86.8915	17.9325	20000	87.0577
86.8915	17.9325	25000	90.026
86.8915	17.9325	31500	93.2684
86.8915	17.9325	40000	94.9068
86.8915	17.9325	50000	96.0444
86.8915	17.9325	63000	97.9163
86.8915	17.9325	80000	100.0642
74.1579	17.8714	500	47.0397
74.1579	17.8714	630	47.4788
74.1579	17.8714	800	48.6345
74.1579	17.8714	1000	52.3462
74.1579	17.8714	1250	54.2897
74.1579	17.8714	1600	56.0951
74.1579	17.8714	2000	57.8056
74.1579	17.8714	2500	58.4765
74.1579	17.8714	3150	61.4453
74.1579	17.8714	4000	65.9255
74.1579	17.8714	5000	68.6378
74.1579	17.8714	6300	70.9927
74.1579	17.8714	8000	76.3906
74.1579	17.8714	10000	77.8046
74.1579	17.8714	12500	81.1639
74.1579	17.8714	16000	83.8086
74.1579	17.8714	20000	87.1349
74.1579	17.8714	25000	89.9421
74.1579	17.8714	31500	92.6976
74.1579	17.8714	40000	95.2384
74.1579	17.8714	50000	96.5392
74.1579	17.8714	63000	98.5924
74.1579	17.8714	80000	100.795
74.1394	9.0314	500	39.9498
74.1394	9.0314	630	40.7912
74.1394	9.0314	800	41.664
74.1394	9.0314	1000	45.8011
74.1394	9.0314	1250	48.294
74.1394	9.0314	1600	51.9085
74.1394	9.0314	2000	53.7451
74.1394	9.0314	2500	53.7639
74.1394	9.0314	3150	56.8608
74.1394	9.0314	4000	61.612
74.1394	9.0314	5000	64.5901
74.1394	9.0314	6300	67.563
74.1394	9.0314	8000	71.5335
74.1394	9.0314	10000	73.9223
74.1394	9.0314	12500	76.2878
74.1394	9.0314	16000	78.2707
74.1394	9.0314	20000	80.4126
74.1394	9.0314	25000	82.6202
74.1394	9.0314	31500	85.7364
74.1394	9.0314	40000	87.5558
74.1394	9.0314	50000	88.1107
74.1394	9.0314	63000	89.1319
74.1394	9.0314	80000	91.9592
74.2161	4.6727	500	34.4667
74.2161	4.6727	630	35.6499
74.2161	4.6727	800	37.3512
74.2161	4.6727	1000	41.5126
74.2161	4.6727	1250	44.736
74.2161	4.6727	1600	48.8247
74.2161	4.6727	2000	51.0779
74.2161	4.6727	2500	50.4348
74.2161	4.6727	3150	54.1434
74.2161	4.6727	4000	59.0968
74.2161	4.6727	5000	61.7528
74.2161	4.6727	6300	64.1878
74.2161	4.6727	8000	66.7402
74.2161	4.6727	10000	68.0426
74.2161	4.6727	12500	69.6018
74.2161	4.6727	16000	71.029
74.2161	4.6727	20000	73.2056
74.2161	4.6727	25000	77.7624
74.2161	4.6727	31500	83.0679
74.2161	4.6727	40000	84.1297
74.2161	4.6727	50000	83.4683
74.2161	4.6727	63000	82.9733
74.2161	4.6727	80000	85.2805
74.2959	2.2316	500	30.1942
74.2959	2.2316	630	32.4167
74.2959	2.2316	800	33.6418
74.2959	2.2316	1000	36.9377
74.2959	2.2316	1250	39.5095
74.2959	2.2316	1600	43.7988
74.2959	2.2316	2000	46.3324
74.2959	2.2316	2500	44.5538
74.2959	2.2316	3150	47.844
74.2959	2.2316	4000	52.3956
74.2959	2.2316	5000	54.3802
74.2959	2.2316	6300	56.2849
74.2959	2.2316	8000	57.7557
